Title,Genre,Length
Juan Tamad,Kwentong Bayan,Long
Ang Uwak at ang Gintong Butil,Pabula,Long
Ang Pamana ni Lola Rosa,Kwentong Bayan,Long
Alamat ng Salamin,Alamat,Long
Ang Daga at ang Leon,Pabula,Long
Alamat ng Espada,Alamat,Long
Ang Unggoy at ang Buwaya,Pabula,Long
Alamat ng Hangin,Alamat,Long
Ang Isda at ang Pagong,Pabula,Long
Ang Hiyas ng Bundok,Kwentong Bayan,Long
Ang Alamat ng Pusong Bato,Alamat,Long
Ang Pag-ibig sa Liwanag ng Buwan,Kwentong Bayan,Long
Ang Alamat ng Pinya,Alamat,Long
Ang Alamat ng Makahiya,Alamat,Long
Alamat: Bakit Mahaba ang Tainga ng Kuneho?,Alamat,Long
Si Langgam at si Tipaklong,Pabula,Long
Si Kuneho at si Pagong,Pabula,Long
Ang Aso at ang Uwak,Pabula,Short
Bakit may Pulang Palong ang mga Tandang?,Alamat,Long
Si Mariang Mapangarapin,Kwentong Bayan,Long
Ang Kalabasa at ang Duhat,Pabula,Long
Bakit Kayumanggi ang mga Pilipino?,Alamat,Long
Ang Tatlong Biik,Pabula,Long
Alamat ng Palay,Alamat,Long
Alamat ng Sibuyas,Alamat,Long
Alamat ng Bayabas,Alamat,Long
Alamat ng Rosas,Alamat,Long
Alamat ng Bulkan Taal,Alamat,Long
Alamat ng Ilang-ilang,Alamat,Long
Ang Alamat ng Kwago,Alamat,Long
Alamat ng Ibong Maya,Alamat,Long
Ang Kasaysayan Ng Pasko,Alamat,Long
Alamat ng Gagamba,Alamat,Long
Alamat ng Sili,Alamat,Long
Alamat ng Petsay,Alamat,Long
Alamat ng Aswang,Alamat,Long
Alamat ng Singkamas,Alamat,Long
Ang Alamat ng Mindanao,Alamat,Long
Alamat ng Hipon,Alamat,Long
Alamat ng Kamatis,Alamat,Long
Alamat ng Waling-Waling,Alamat,Long
Alamat ng Pating,Alamat,Long
Alamat ng Agila,Alamat,Long
Alamat ng Ibon,Alamat,Long
Ang Agila at ang Maya,Pabula,Long
Ang Kuwento ni Kaibigang Lakay,Kwentong Bayan,Long
Ang Kuwento ng Bayan ng Pag-asa,Kwentong Bayan,Long
Si Maria at ang Ahas,Kwentong Bayan,Long
"Ang Pusa, Aso, at Daga",Pabula,Long
Alamat ng Dila,Alamat,Long
Alamat ng Tainga,Alamat,Long
Alamat ng Mata ng Bayan,Alamat,Long
Ang Tigre at ang Leon,Pabula,Long
Ang mga Langgam at ang Alon,Pabula,Long
Ang Alamat ng Ulan,Alamat,Long
Alamat ng Kidlat,Alamat,Long
Ang Araw at ang Buwan,Alamat,Long
Si Juan at ang mga Alimango,Kwentong Bayan,Long
Bakit Mataas ang Langit?,Alamat,Long
Bakit mas Maliwanag ang Araw kaysa sa Buwan?,Alamat,Short
Ang Diwata ng Karagatan,Kwentong Bayan,Long
Kung Bakit may Tagsibol at Taglagas,Alamat,Long
Alamat ng Pakwan,Alamat,Long
Alamat ng Baguio: Mina ng Ginto,Alamat,Long
Alamat ng Pilipinas,Alamat,Long
Si Dagang Bayan at Dagang Bukid,Pabula,Long
Alamat ng Langka,Alamat,Long
Alamat ng Santan,Alamat,Long
Alamat ng Upo,Alamat,Long
Bakit Nagbago si Jose?,Kwentong Bayan,Short
Alamat ng Bundok Arayat,Alamat,Long
Alamat ng Okra,Alamat,Long
Si Pepe at ang Lobo,Kwentong Bayan,Long
Alamat ng Malunggay,Alamat,Long
Alamat ng Luya,Alamat,Long
Ang Unggoy at Paru-paro,Pabula,Long
Bakit Hati ang Kuko ng Kalabaw?,Alamat,Long
Alamat ng Bawang,Alamat,Long
Ang Alamat ng Ibong Adarna,Alamat,Long
Alamat ng Alitaptap,Alamat,Long
Alamat ng Kalabasa,Alamat,Long
Ang Mayabang na Palaka,Pabula,Long
Alamat ng Suha,Alamat,Long
Ang Aso at ang Anino,Pabula,Short
Ang Uwak at ang Banga,Pabula,Short
Ang Kampanilya at ang Pusa,Pabula,Short
Ang Alakdan at ang Palaka,Pabula,Long
"Si Mario, Si Ana, at ang Isda",Pabula,Long
Ang Araw at ang Hangin,Pabula,Long
Ang Matalinong Pintor,Kwentong Bayan,Long
Alamat ng Bahaghari,Alamat,Long
Bakit Dala-dala ni Pagong ang kaniyang Bahay?,Alamat,Long
Ang Batang Maikli ang Isang Paa,Kwentong Bayan,Long
Ang Pagong at ang Kalabaw,Pabula,Long
Ang Uwak at ang Gansa,Pabula,Long
Si Alitaptap at Si Paruparo,Pabula,Long
Alamat ng Bulaklak,Alamat,Long
Ang Matalik na Magkaibigan,Kwentong Bayan,Long
"Araw, Buwan, at Kuliglig",Pabula,Long
Ang Babaing Maggagatas,Kwentong Bayan,Long
Ang Kabayo at ang Mangangalakal,Pabula,Long
Ang Bata at Ang Aso,Kwentong Bayan,Long
Si Mahistrado Kwago,Pabula,Long
Alamat ng Daigdig,Alamat,Long
Bakit Maalat and Dagat?,Alamat,Long
Ang Alamat ng Unang Sirena,Alamat,Long
Ang Pinagmulan ng Tagalog,Alamat,Long
Ang Alamat ng Unggoy,Alamat,Long
Ang Alamat ng Batuktok ,Alamat,Long
Ang Alamat ng Lamok,Alamat,Long
Alamat ng Duhat,Alamat,Short
Alamat ng Papaya,Alamat,Long
Bakit May Korona Ang Bayabas?,Alamat,Long
Alamat ng Mindanao,Alamat,Short
Alamat ng Panay,Alamat,Long
Alamat ng Bohol,Alamat,Long
Alamat ng Bulkang Taal,Alamat,Short
Alamat ng Langaw,Alamat,Long
Ang Alamat ng Mansanas,Alamat,Long
Alamat ng Butanding,Alamat,Long
Alamat ng Buwitre,Alamat,Long
Alamat ng Alitaptap,Alamat,Long
Alamat ng Palaka,Alamat,Long
Alamat ng Unang Matsing,Alamat,Long
Alamat ng Dalagang Bukid,Alamat,Long
Ang Alamat ng Pipino,Alamat,Long
Alamat ng Pasig,Alamat,Long
Ang Alamat ng Buwaya,Alamat,Long
Ang Alamat ng Rambutan,Alamat,Long
Alamat ng Apoy,Alamat,Long
Ang Alamat ng Talon ng Maria Cristina,Alamat,Long
Alamat ng Sayote,Alamat,Long
"Ang Alamat ng Atis",Alamat,Long
Alamat ng Paniki,Alamat,Long
Ang Paniki at ang mga Ibon,Pabula,Long
Alamat ng Salagubang,Alamat,Long
Ang Salagubang at ang Langgam,Pabula,Long
Ang Kwento ng Kuba,Kwentong Bayan,Long
Ang Alamat ng Yungib ng Kalayaan,Alamat,Long
Ang Alamat ng Masiglang Bayan,Alamat,Long
Alamat ng Bagyo,Alamat,Long
Ang Mananahing Mahiwaga,Kwentong Bayan,Long
Ang Elepante at ang Munting Gagamba,Pabula,Long
Ang Gagamba at ang Langaw,Pabula,Long
Ang Alamat ng Gumamela,Alamat,Long
Ang Manok at ang Inahin,Pabula,Long
Ang Kabayo at ang Pagong,Alamat,Long
Ang Butiki at ang Ibon,Alamat,Long
Si Haring Tamaraw at si Daga,Alamat,Long
Sino ang magtatali ng Kuliling?,Pabula,Long
Ang Aral ng Damo,Pabula,Long
Ang Inang Matapobre,Kwentong Bayan,Long
Si Kalabaw at si Tagak,Pabula,Long
Nakalbo ang Datu,Kwentong Bayan,Long
Pambansang Pintor,Kwentong Bayan,Long
Ang Dalawang Mangtotroso at ang Engkantada,Kwentong Bayan,Long
Bakit itim ang kulay ng Uwak?,Alamat,Long
Ang Batik ng Buwan,Alamat,Long
Naging Sultan si Pilandok,Kwentong Bayan,Long
Sina Adlaw at Bulan,Alamat,Long
Ang Manok at ang Uwak,Pabula,Long
Ang Batang sumigaw ng Lobo,Kwentong Bayan,Long
Ang Nawawalang Kuwintas,Pabula,Long
Ang Kwento ni Kidlat,Kwentong Bayan,Long
Ang Alamat ng Uod,Alamat,Long
Ang Uod at ang Alitaptap,Pabula,Long
Ang Mahiwagang Prutas ng Bundok,Kwentong Bayan,Long
Ang Alamat ng Ulap,Alamat,Long
Ang Duwendeng Mapaglaro,Kwentong Bayan,Long
Ang Kwento ng Mahiwagang Sako,Kwentong Bayan,Long
Alamat ng Kalabaw,Alamat,Long
Ang Kalabaw at ang Langaw,Pabula,Long
Alamat ng Kuwago,Alamat,Long
Ang Kuwago at ang Maliliit na Ibon,Pabula,Long
Alamat ng Tubo,Alamat,Long
Ang Alamat ng Korona,Alamat,Long
Ang Hari at ang Mahirap na Magsasaka,Kwentong Bayan,Long
Ang Matandang Ermitanyo at ang Mahiwagang Puno,Kwentong Bayan,Long
Ang Dakilang Kaibigan,Kwentong Bayan,Long
Ang Lalaki at ang kaniyang mga Niyog,Kwentong Bayan,Short
Ang Ginintuang Tuntunin,Kwentong Bayan,Long
Si Ana at ang Gatas,Kwentong Bayan,Long
Alamat ng Mais,Alamat,Long
Ang Tunay na Yaman,Kwentong Bayan,Long
Ang Buaya at ang tusong Matsing,Pabula,Long
Ang Pambihirang Sombrero,Kwentong Bayan,Long
"Si Maya, Mamaya Na",Kwentong Bayan,Long
Si Nina at ang Bayan ng Daldalina,Kwentong Bayan,Long
Kung Bakit Pulo-pulo ang Pilipinas,Alamat,Long
Saan Nagmula ang Lawa ng Sampalok?,Alamat,Long
"Saan Nanggaling ang Araw, Buwan at mga Bituin?",Alamat,Long
Ang Alamat ng mga Hayop na Nagkapakpak upang Lumigaya ang mga Bulaklak,Alamat,Long
Alamat ng Palendag,Alamat,Long
Kung Bakit sa Gabi Lumilipad ang Paniki,Alamat,Long
Alamat ng Pusa at Uwak,Alamat,Long
Alamat ng Suso,Alamat,Long
Alamat Bakit Maluwag ang Balat ng Baka?,Alamat,Long
Kung Bakit Umaawit ang Lamok sa Labas ng Iyong Taynga,Alamat,Long
Ang Alamat ng Bayang Lumubog sa Baha,Alamat,Long
Ang Alamat ng Puno ng Pino,Alamat,Long
Ang Alamat ng Bundok Pinatubo,Alamat,Long
"Alamat ng Bundok Banahaw",Alamat,Long
Alamat ng Bayan ng Tiaong sa Probinsya ng Quezon,Alamat,Long
"Ang Pinagmulan ng Kodla ng mga Ifugao",Alamat,Long
"Alamat ng Hagdan-Hagdang Palayan sa Ifugao",Alamat,Long
"Alamat ng Sampung Datu ng Borneo",Alamat,Long
Alamat ng Guyabano,Alamat,Long
Alamat ng Suklay,Alamat,Long
Alamat ng Upuan,Alamat,Long
Alamat ng Gitara,Alamat,Long
Alamat ng Sapatos,Alamat,Long
Alamat ng Kutsilyo,Alamat,Long
Alamat ng Paminta,Alamat,Long
Alamat ng Lipstik,Alamat,Long
Alamat ng Kandila,Alamat,Long
Alamat ng Kotse,Alamat,Long
Alamat ng Pera,Alamat,Long
Alamat ng Paso,Alamat,Long
Alamat ng Walis Tambo,Alamat,Long
Alamat ng Tsinelas,Alamat,Long
Alamat Ng Daga,Alamat,Long
Alamat ng Kwintas,Alamat,Long
Alamat  ng Bato,Alamat,Long
Si Kalabaw at ang Mabait na Magsasaka,Pabula,Long
Ang Alamat ng Perlas ng Silanganan,Alamat,Long
Si Pagong at ang Batang Matulungin,Pabula,Long
Ang Alamat ng Puno ng Niyog,Alamat,Long
Ang Mahiwagang Kabibe,Kwentong Bayan,Long
Si Tandang at ang Itlog ng Ginto,Pabula,Long
Ang Alamat ng Malapad na Ilog,Alamat,Long
Si Malakas at si Maganda,Kwentong Bayan,Long
Si Mariang Sinukuan,Kwentong Bayan,Long
Ang Alamat ng Bulalakaw,Alamat,Long
Ang Mahiwagang Lawa,Kwentong Bayan,Long
Ang Alamat ng Bundok Makiling,Alamat,Long
Ang Kwento ng Puno ng Balete,Kwentong Bayan,Long
Si Juan at ang Higanteng Bundok,Kwentong Bayan,Long
Ang Nawawalang Araw,Kwentong Bayan,Long
Si Pagong at si Matsing,Pabula,Long
Ang Agila at ang Kalapati,Pabula,Long
Ang Agila at ang Salagubang,Pabula,Long
Ang Anino ng Buriko,Kwentong Bayan,Long
Ang Asno at Ang Lobo,Pabula,Long
Ang Aso at Ang Leyon,Pabula,Long
Ang Asong Bundok at Ang Tagak,Pabula,Short
Ang Barumbadong Gansa,Pabula,Long
Ang Bata at Ang Lobo,Pabula,Long
Ang Biik at Ang mga Tupa,Pabula,Long
Ang Duwag na Paniki,Pabula,Long
Ang Gansang Nangitlog ng ginto,Pabula,Long
Ang Kabayong Nagdamit Leyon,Pabula,Long
Ang Kasal ng dalawang Daga,Pabula,Long
Ang Kuneho at Ang Aso,Pabula,Long
Ang Lamok at Ang Leyon,Pabula,Long
Alamat ng Sitaw,Alamat,Long
Alamat ng Kangkong,Alamat,Long
Ang Kuwento ni Binibining Repolyo,Pabula,Short
Alamat ng Kabute,Alamat,Long
Ang Alamat ng Kabute,Alamat,Long
Alamat ng Labanos,Alamat,Long
Alamat ng Kamote,Alamat,Long
Alamat ng Pambura,Alamat,Long
Alamat ng Parol,Alamat,Long
Alamat ng Isandaang mga Pulo,Alamat,Long
Ang Bagong Kaibigan,Kwentong Bayan,Long
Ang Uwak na Nagpanggap,Pabula,Short
Alamat ng Dahlia,Alamat,Long
Alamat ng Pilak,Alamat,Long
Alamat ng Talong,Alamat,Long
"Si Usman, Ang Alipin",Kwentong Bayan,Long
Alamat ng Kapre,Alamat,Long
Ang Pag-ibig ni Datu Puti,Kwentong Bayan,Long
Alamat ng Santol,Alamat,Long
Alamat ng Bariw,Alamat,Long
Alamat ni Daragang Magayon,Alamat,Long
Alamat ng Garapon,Alamat,Long
Alamat ng Asin,Alamat,Long
Alamat ng Santacruzan,Alamat,Long
Alamat ng Kalesa,Alamat,Long
Alamat ng Pagdiriwang ng Magayon,Alamat,Long
Alamat ng Pagdiriwang ng Sinulog,Alamat,Long
Alamat ng Lawa ng Sebu,Alamat,Long
Alamat ng Paru-parong Bukid,Alamat,Long
Alamat ng Oso,Alamat,Long
Alamat ng Bukal ng Tiwi,Alamat,Long
Alamat ng Dama de Noche,Alamat,Long
Alamat ng Lawa ng Bulusan,Alamat,Long
Alamat ng Lanao del Sur,Alamat,Long
Alamat ng Zamboanga,Alamat,Long
Ang Langaw at Ang Baka,Pabula,Long
Ang Langgam at Ang Kalapati,Pabula,Long
Ang Lobo at Ang Kabayo,Pabula,Long
Ang Lobo at Ang maliit na Kuneho,Pabula,Short
Ang Lobo at ang mga ubas,Pabula,Long
Ang Lobo at Ang Tupa,Pabula,Long
Ang Lobo at Ang Uwak,Pabula,Long
Ang Lobo sa kasuotang Tupa,Pabula,Long
Ang Lobo,Pabula,Long
Ang Lobong sumabit sa mga tinik,Pabula,Long
Ang Mag-Amang manggigiling at Ang Buriko,Pabula,Long
Ang Mag-Amang Palaka,Pabula,Long
Ang Mag-Inang Alimasag,Pabula,Long
Ang Mambubuyog,Pabula,Long
Ang Mangangambing at Ang Kambing,Pabula,Long
Ang Manlalakbay at Ang Aso,Pabula,Long
Ang Mapagkunwaring Palaka,Pabula,Long
Ang Maya at Ang Magsasaka,Pabula,Long
Ang Mayabang na Pulang Tandang,Pabula,Long
Ang Musikerong Mangingisda,Pabula,Long
Ang Kwento ni Mabuti,Kwentong Bayan,Long
Ang Alamat ng Kutsara’t Tinidor,Alamat,Long
Ang Alamat ng Pamaypay,Alamat,Long
Alamat ng Payong,Alamat,Long
Ang Basahan,Pabula,Long
Ang Tabo,Pabula,Long
Ang Alamat ng Lamesa,Alamat,Long
Ang Kulambo,Kwentong Bayan,Long
Ang Libro ni Anna,Kwentong Bayan,Long
Ang Kaibigan ko,Pabula,Long
Ang Bawat Kwento,Kwentong Bayan,Long
Ang Batang Mabait,Kwentong Bayan,Long
Ang Paborito Kong Palabas,Kwentong Bayan,Long
Ang Aking Pamilya,Kwentong Bayan,Long
Ang Aking Alagang Aso,Kwentong Bayan,Long
Ang Bawat Tao,Kwentong Bayan,Long
Ang Huling Langgam,Pabula,Long
Ang Munting Regalo,Kwentong Bayan,Long
Ang Kabayo sa Kwadra,Pabula,Long
Bawat Pangarap,Kwentong Bayan,Long
Ang Nawawalang Bituin,Pabula,Long
Ang Kwento ni Mariang Makiling,Kwentong Bayan,Long
Si Uwak at si Pagong,Pabula,Long
Ang Mahiwagang Banga,Kwentong Bayan,Long
Ang Alamat ng Ilog Pasig,Alamat,Long
Si Saging at si Ulan,Pabula,Long
Ang Alamat ng Ginto sa Ilalim ng Lupa,Alamat,Long
Si Kidlat at si Buhawi,Pabula,Long
Ang Alamat ng Prinsesa ng Karagatan,Alamat,Long
Ang Alamat ng Lawa ng Laguna,Alamat,Long
Ang Alamat ng Pagong at Pagaspas,Alamat,Long
Si Matsing at ang Bayabas,Pabula,Long
Ang Mahiwagang Sinukuan,Kwentong Bayan,Long
Ang Alamat ng Likas na Yaman,Alamat,Long
Si Maya at ang Isang Payaso,Kwentong Bayan,Long
Si Aling Pagong at ang Masunuring Mga Bata,Pabula,Long
Ang Alamat ng Puno ng Narra,Alamat,Long
Si Lawin at si Kalapati,Pabula,Long
Ang Alamat ng Perlas na Buhok,Alamat,Long
Ang Alamat ng Pulang Kabayo,Alamat,Long
Si Matsing at ang Mahiwagang Pananim,Pabula,Long
Ang Alamat ng Batong Hinulid,Alamat,Long
Ang Mahiwagang Kuweba ng Sierra Madre,Kwentong Bayan,Long
Si Bibe at si Suso,Pabula,Long
Ang Alamat ng Halimaw sa Bundok Cristobal,Alamat,Long
Si Pusa at si Aso,Pabula,Long
Ang Alamat ng Pagsilang ng Buwan,Alamat,Long
Si Adarna at ang Mahiwagang Awit,Pabula,Long
Ang Alamat ng Matamis na Santol,Alamat,Long
Ang Alamat ng Palasong Ginto,Alamat,Long
Si Daga at si Tipaklong,Pabula,Long
Ang Alamat ng Matandang Punong Acacia,Alamat,Long
Si Kabayo at ang Bukang-Liwayway,Pabula,Long
Ang Alamat ng Matandang Balon,Alamat,Long
Si Palaka at si Uod,Pabula,Long
Si Buwaya at si Buho,Pabula,Long
Ang Alamat ng Wagas na Pag-ibig,Alamat,Long
Si Paruparo at si Bubuyog,Pabula,Long
Ang Alamat ng Puno ng Mangga,Alamat,Long
Bakit May Ulap,Alamat,Long
Ang Matatalinong Ugat,Pabula,Short
Ang Manok na Naglayag,Pabula,Short
Ang Pinagmulan ng Unang Isda,Alamat,Long
Ang Pag-ibig ng Isang Langgam,Pabula,Long
Ang Manok na Naglayag,Pabula,Long
Ang Sirena ng Lawa,Kwentong Bayan,Long
Ang Buhay na Bahay,Kwentong Bayan,Long
Ang Kambal na Bukid,Kwentong Bayan,Long
Ang Puno ng Ginto,Kwentong Bayan,Long
Ang Lobo at ang Pitong Kuting,Pabula,Long
Ang Pagsilang ng Bulkan,Alamat,Long
Bakit May Kulay ang Langit,Alamat,Long
Ang Pagkakaibigan ng Alipin at Prinsipe,Kwentong Bayan,Long
Ang Lobo at ang Tatlong Bibe,Pabula,Long
Ang Prinsipe at ang Malditang Prinsesa,Kwentong Bayan,Long
Ang Oso at ang mga Turista,Kwentong Bayan,Long
Ang Paboreal at Ang Heron,Pabula,Long
Ang Puti at Ang Itim na Kambing,Pabula,Long
Ang Sakim na Aso,Pabula,Short
Ang Tigre at Ang Langgam,Pabula,Long
Ang Tigre at Ang Leopardo,Pabula,Long
Ang Tigre at Ang Lobo,Pabula,Long
Ang Tikling at Ang Lobo,Pabula,Long
Ang Tsonggo at Ang Alamid,Pabula,Long
Ang Usa sa Ilug-Ilugan,Pabula,Long
Ang Uwak at Ang Gansa,Pabula,Long
Ang Uwak na Naghahari-harian,Pabula,Long
Baryo Maligaya,Kwentong Bayan,Long
Mga Pusa laban sa mga Daga,Pabula,Long
Si Dagang Bayan at Dagang Bukid,Pabula,Long
Si Jupiter at Ang Tsonggo,Pabula,Long
Ang Buwaya at Ang Pabarael,Pabula,Long
Ibig maging Tenor,Pabula,Short
Lalapindigowa-i: Kung Bakit Maliit ang Beywang ng Putakti,Alamat,Long
Alamat ng Basey,Alamat,Long
Ang Pinagmulan ng Sansinukob at Lahi,Alamat,Long
Ang Balat-Kayo,Pabula,Short
"Nanggagaya, ngunit hindi kaya",Kwentong Bayan,Long
Ang Mga Daga,Pabula,Short
Ang Tigre at Ang Alamid,Pabula,Long
Ang Manok at Ang Lawin,Pabula,Long
Alamat ng Litson,Alamat,Long
Alamat ng Marinduque,Alamat,Long
Alamat ng Bundok Kanlaon,Alamat,Long
Alamat ng tatlong kulay ng Tao,Alamat,Long
Ang Uwak at Ang Lamiran,Pabula,Long
Ang laban ng mga Alimango,Pabula,Long
Ang Kalabaw at Ang Suso,Pabula,Short
Ang Hukuman ni Sinukuan,Pabula,Long
Si Alelu’k At Si Alebu’tud,Kwentong Bayan,Long
Ang Alamat ng Mga Unang Tala,Alamat,Long
Ang Alamat ng Puso ng Saging,Alamat,Long
Si Gagamba at ang Luntiang Damuhan,Pabula,Long
Ang Alamat ng Haring Kidlat,Alamat,Long
Si Ibon at si Hangin,Pabula,Long
Si Tikling at si Maya,Pabula,Long
Ang Alamat ng Puno ng Balimbing,Alamat,Long
Si Palaka at ang Matamis na Tubig,Pabula,Long
Ang Alamat ng Matapang na Manok,Alamat,Long
Si Alitaptap at ang Bituin,Pabula,Long
Ang Alamat ng Batong-Buhay,Alamat,Long
Si Loro at ang Mahiwagang Salamin,Pabula,Long
Ang Alamat ng Bulong ng Hangin,Alamat,Long
Si Pagong at ang Matalinong Lamok,Pabula,Long
Ang Alamat ng Bahay-Kubo,Alamat,Long
Ang Alamat ni Datu Bago,Alamat,Long
Ang Alamat ng Binignit,Alamat,Long
Ang Alamat ng Teniente Gimo,Alamat,Long
Ang Paglalakbay ni Sultan Kudarat,Kwentong Bayan,Long
Alamat ng Mamag,Alamat,Long
Alamat ng Talon ng Pagsanjan,Alamat,Long
Alamat ng Lupa,Alamat,Long
Ang Alamat ng Halaman,Alamat,Long
Ang Gruffalo,Pabula,Long
Alamat ng Tsokolateng Burol,Alamat,Long
Alamat ng Bundok Apo,Alamat,Long
Ang Alamat Kung Bakit Nasa Labas ang Buto ng Kasoy,Alamat,Long
Alamat ng Bundok Pinto,Alamat,Long
Bakit Laylay Ang Balat Sa Leeg Ng Baka?,Alamat,Long
Bakit Ikinakawag Ng Mga Aso Ang Kanilang Buntot,Alamat,Long
Si Langgam at si Butil ng Palay,Pabula,Long
Ang Alamat ng Itim na Bato,Alamat,Long
Si Matsing at ang Kalabasa,Pabula,Long
Ang Alamat ng Masayahing Bundok,Alamat,Long
Si Ulang at ang Alamat ng Dagat,Alamat,Long
Ang Alamat ng Bundok Banahaw,Alamat,Long
Si Alitaptap at ang Mahiwagang Ilaw,Alamat,Long
Ang Alamat ng Puno ng Balete,Alamat,Long
Ang Kuting at ang Buwan,Pabula,Long
Ang Alamat ng Pagsilang ng Araw,Alamat,Long
Si Kalapati at ang Matandang Ermitanyo,Kwentong Bayan,Long
Ang Alamat ng Kulay ng Langit,Alamat,Long
Si Uwak at ang Makisig na Leon,Pabula,Long
Ang Alamat ng Batong Dambuhala,Alamat,Long
Si Tikling at ang Gintong Paru-paro,Pabula,Long
Ang Alamat ng Dagat ng Palakpakan,Alamat,Long
Si Matsing at ang Kawayan,Pabula,Long
Ang Alamat ng Inang Kalikasan,Alamat,Long
Si Kuneho at ang Alamat ng Bulaklak,Alamat,Long
Ang Alamat ng Matandang Pagong,Alamat,Long
Ang Matakaw na Aso,Pabula,Long
Ang Engkantada ng Makulot,Kwentong Bayan,Long
Regalo sa Guro,Kwentong Bayan,Long
Ang Inapi,Kwentong Bayan,Long
Kapuri-puring Bata,Kwentong Bayan,Long
Ang Alaga ni Mang Kardo,Kwentong Bayan,Long
Ang Mabait na Ulan,Kwentong Bayan,Long
Ang Maingat na Alimango,Pabula,Long
Ang Puno at ang mga Hayop,Pabula,Long
Ang Matapat na Pusa,Pabula,Long
Ang Tsinelas at ang Bagong Sapatos,Kwentong Bayan,Long
Ang Magkaibigang Aso at Pusa,Pabula,Long
Halaman ng Pagmamahal,Kwentong Bayan,Long
Ang Nawawalang Prinsesa,Kwentong Bayan,Long
Ang Naglalakbay na Bibe,Pabula,Long
Ang Tagumpay ng Maliliit,Kwentong Bayan,Long
Ang Matiyagang Suso,Pabula,Long
Ang Batang Matapat,Kwentong Bayan,Long
Ang Maliit na Isda na may Malaking Pangarap,Pabula,Long
Ang Magkaibigang Ulan at Araw,Pabula,Long
Ang Nawawalang Pusa at Ang Agila,Pabula,Long
Ang Biik na Makulit,Pabula,Long
Ang Daga na Mahilig  Makipag-away,Pabula,Long
Ang Aso at Ang Kuting,Pabula,Long
Ang Maya na Ayaw Tumigil sa Pagkanta,Pabula,Long
Ang Pagong na Laging Nagtatago sa Kanyang Bahay,Pabula,Long
Bakit Mahilig ang Kuneho sa Karot?,Pabula,Long
Bakit Mahaba ang Leeg ng Dyirap?,Pabula,Long
Bakit Mahilig sa Matatamis ang mga Langgam?,Pabula,Long
Ang Matapang na Leyon,Pabula,Long
Ang Sobrang Takaw na Usa,Pabula,Long
Ang Mapaglinlang na Soro,Pabula,Long
Ang Dalawang Sisne,Pabula,Long
Ang Magkaibigang Gansa at Pato,Pabula,Long
Ang Tuta at Ang Kuting,Pabula,Long
Ang Mapagbigay na Puno,Pabula,Long
Ang Payo ng Magulang,Kwentong Bayan,Long
Ang Bagong Telepono,Kwentong Bayan,Long
Ang Bunga ng Pagkaantala,Kwentong Bayan,Long
Ang Mabait na Pagong at ang Masungit na Agila,Pabula,Long
Ang Tagumpay sa Maagang Paggawa,Kwentong Bayan,Long
Ang Matalinong Paniki,Pabula,Long
Ang Masigasig na Langgam at ang Tamad na Uod,Pabula,Long
Ang Mapagbigay na Lobo,Pabula,Long
Si Juan at ang Gintong Isda,Kwentong Bayan,Long
